id,story_main_num,story_sub_num,koma,who,inner,speaker,what,emotion
36,4,0,0,B,FALSE,B,石田君の気持ちには応えられないの ごめんね,ニュートラル
37,4,0,1,A,FALSE,A,ど どうしてですか？,悲哀
38,4,0,1,A,FALSE,A,もしかして既に彼氏とかいるんでしょうか？,悲哀
39,4,0,2,B,FALSE,B,いないよ,憤怒
40,4,0,2,A,FALSE,A,痛！,驚愕
41,4,0,3,B,FALSE,B,私 女の子が好きだから,喜楽
42,4,0,3,A,FALSE,A,絶対勝てないじゃん・・・ 諦めよう,悲哀
43,5,0,0,A,FALSE,A,急に呼びつけて 何の用ですか？,ニュートラル
44,5,0,0,B,FALSE,B,あー 実は読書感想文を書かなくちゃいけなくて,ニュートラル
45,5,0,0,B,FALSE,B,赤坂君 何か無い？,喜楽
46,5,0,0,A,FALSE,A,おすすめの本ですか・・・？,ニュートラル
47,5,0,1,A,TRUE,A,最近は服飾系の本しか読んでないしな・・・,悲哀
48,5,0,1,A,TRUE,A,これで作文書けるわけないし,ニュートラル
49,5,0,1,A,TRUE,A,ホラー系とかどうだろう？,ニュートラル
50,5,0,2,A,TRUE,A,やっぱり王道がいいかな,ニュートラル
51,5,0,2,A,FALSE,A,やはりオススメなのは シェイクスピアの書いた四大悲劇が最高ですね！特に『ハムレット』なんかは・・・,喜楽
52,5,0,2,B,FALSE,B,うーん オタクの早口は何言ってるのか分からないなぁ,悲哀
53,5,0,2,B,TRUE,B,でも 読んであげるか,喜楽
54,5,0,3,B,FALSE,B,『リア王』で書いてみたから読んでほしい！,喜楽
55,6,0,0,A,FALSE,A,新しいガチャ引きましたか？,ニュートラル
56,6,0,0,B,FALSE,B,あはは！ 大爆死したよー,喜楽
57,6,0,1,A,FALSE,A,南無阿弥陀仏,悲哀
58,6,0,1,B,FALSE,B,大げさだよー 石は足りなくなったら足すだけよ,喜楽
59,6,0,2,A,FALSE,A,さすがの経済力ですよねー,ニュートラル
60,6,0,2,B,FALSE,B,羨ましかったら バイト頑張りな,喜楽
61,6,0,3,B,FALSE,B,米ダブった！,驚愕
62,6,0,3,A,TRUE,A,家庭力は無いんだな・・・,悲哀
63,6,1,0,B,FALSE,B,おかずが無い！,驚愕
64,6,1,0,A,TRUE,A,うるさいなぁ,嫌悪
65,6,1,1,A,FALSE,A,そんな凹むこともないでしょうに,ニュートラル
66,6,1,1,B,FALSE,B,今日のおかずには高級ヒレ肉のステーキが入ってたんだよ・・・,悲哀
67,6,1,2,A,FALSE,A,今頃 家にいるお母さんに食べられてますね,ニュートラル
68,6,1,2,B,FALSE,B,最悪だ・・・ 母親のニヤケ顔が目に浮かぶわ,嫌悪
69,6,1,3,A,FALSE,A,スーパーの安いお肉なら少し分けてあげてもいいですよ,喜楽
70,6,1,3,B,FALSE,B,あんまり嬉しくないけど ありがとう！,喜楽
71,7,0,0,A,FALSE,A,何ですか これ,ニュートラル
72,7,0,0,B,FALSE,B,先輩からのお土産みたいだねー,ニュートラル
73,7,0,1,A,FALSE,A,では 佐藤さんには一つしか残っていない味を,喜楽
74,7,0,1,B,FALSE,B,えー いいよいいよ！別に,驚愕
75,7,0,1,A,FALSE,A,遠慮せずに食べちゃってくださいよ,喜楽
76,7,0,2,A,TRUE,B,鶴瓶君は優しいんだね！,喜楽
77,7,0,2,A,TRUE,A,みたいな展開にならないかなぁ,喜楽
78,7,0,3,B,FALSE,B,ウェーイ！アイスクリーム星人だぞー！,喜楽
79,7,0,3,A,TRUE,A,まさかのアルコール入り！？,驚愕
80,8,0,0,A,TRUE,A,ただ ひたすらに眠い・・・,悲哀
81,8,0,1,A,TRUE,A,何やねん・・・,嫌悪
82,8,0,2,A,TRUE,A,見たいアニメあるし そろそろ帰るか・・・,ニュートラル
83,8,1,1,A,TRUE,A,進捗を産まずに帰っていいものなのか？,悲哀
84,8,1,2,A,FALSE,A,でも 締め切りまであと1週間あるし 大丈夫だよね,喜楽
85,8,1,3,A,TRUE,A,早く帰って 風呂に入りたいな,ニュートラル
86,9,0,0,A,TRUE,A,あっ 島村さんだ・・・,ニュートラル
87,9,0,1,A,FALSE,A,オッス！ ゼミの課題はもう終わった？,喜楽
88,9,0,2,A,FALSE,A,あれ！？ ここうちの研究室じゃないじゃん！,驚愕
89,9,0,2,A,FALSE,A,ということは・・・,悲哀
90,9,0,3,Bらしき後ろ姿の別人女性,FALSE,Bらしき後ろ姿の別人女性,あなた 失礼ですね,嫌悪
91,9,0,3,A,FALSE,A,申し訳ございません！,驚愕
92,9,1,0,Bらしき後ろ姿の別人女性,FALSE,Bらしき後ろ姿の別人女性,あなた 見かけない顔ね,ニュートラル
93,9,1,0,A,FALSE,A,あまりに研究室に来なさ過ぎた弊害か！？,驚愕
94,9,1,1,A,FALSE,A,あれ！？ ここうちの研究棟じゃないじゃん！,驚愕
95,9,1,2,A,TRUE,A,とんだ災難だった・・・,悲哀
96,9,1,3,B,FALSE,B,勝俣君 こんにちは,喜楽
97,9,1,3,A,FALSE,A,あぁ 帰ってきたぞ！,喜楽
98,9,1,3,B,FALSE,B,何があったの・・・？,恐怖
