id,original,story_main_num,story_sub_num,koma,who,inner,speaker,what,wakati,emotion,kakimoji,self_anotated,alter_emotion
102,True,6,1,2,B,False,B,ほとんど冷凍食品詰めただけだよ…,ほとんど 冷凍 食品 詰めた だけ だ よ …,悲哀,False,False,
103,True,6,1,3,A,False,A,俺も今日弁当なんでおかず分けますよ,俺 も 今日 弁当 なんで おかず 分け ます よ,悲哀,False,False,
104,True,6,1,3,B,False,B,ありがとう…,ありがとう …,喜楽,False,False,
105,True,7,0,0,A,False,A,どれがいいですか?,どれ が いい です か ?,ニュートラル,False,False,
106,True,7,0,0,B,False,B,本当はチョコが好きなんだけど…,本当 は チョコ が 好きな んだ けど …,ニュートラル,False,False,
107,True,7,0,1,A,False,A,じゃあチョコですね,じゃあ チョコ です ね,ニュートラル,False,False,
108,True,7,0,1,B,False,B,チョコは一つしかないし、悪いよ?,チョコ は 一 つ しか ない し 、 悪い よ ?,驚愕,False,False,
109,True,7,0,1,A,False,A,別に気にしませんが…,別に 気 に し ませ ん が …,ニュートラル,False,False,
110,True,7,0,2,A,True,B,はんぶんこしよっか,はんぶん こし よっか,喜楽,False,False,
111,True,7,0,2,A,True,A,とか言い出すのかな…,と か 言い 出す の か な …,喜楽,False,False,
112,True,7,0,3,B,False,B,ジャーン!パフェを作ってみました?!,ジャーン ! パフェ を 作って み ました ? !,喜楽,False,False,
113,True,7,0,3,A,True,A,器用だ!?,器用だ ! ?,驚愕,False,False,
114,True,7,1,0,B,False,B,ジャーン!パフェを作ってみました?!,ジャーン ! パフェ を 作って み ました ? !,喜楽,False,False,
115,True,7,1,0,A,True,A,器用だ!?,器用だ ! ?,驚愕,False,False,
116,True,7,1,1,A,False,A,こうやっていろんな食べ方をすれば飽きないですね,こう やって いろんな 食べ 方 を すれば 飽き ない です ね,悲哀,False,False,
117,True,7,1,1,A,False,A,差し入れでもらったこの大量のアイスも,差し入れ で もらった この 大量の アイス も,UNK,True,True,
118,True,7,1,2,A,True,B,チョコ一つしかないね はんぶんこしよっか,チョコ 一 つ しか ない ね はんぶん こし よっか,ニュートラル,False,False,
119,True,7,1,2,A,True,A,とか言い出すのかと思った…,と か 言い 出す の か と 思った …,悲哀,False,False,
120,True,7,1,3,B,True,B,Aくんがいなければ独り占めできたのにな…,A くん が い なければ 独り占め できた のに な …,悲哀,False,False,
121,True,8,0,0,A,True,A,今日は良い実験結果が出たな,今日 は 良い 実験 結果 が 出た な,喜楽,False,False,
122,True,8,0,1,A,True,A,国際会議でスペインにいるBさんからだ,国際 会議 で スペイン に いる B さん から だ,驚愕,False,False,
123,True,8,0,2,A,True,A,ここは日本… 何も見ていない,ここ は 日本 … 何も 見て い ない,恐怖,False,False,
124,True,8,1,1,A,True,A,ここは日本… 何も見ていない,ここ は 日本 … 何も 見て い ない,恐怖,False,False,
125,True,8,1,2,A,False,A,でもわざわざ国際会議から送ってくれたんだよな…,でも わざわざ 国際 会議 から 送って くれた んだ よ な …,悲哀,False,False,
126,True,8,1,2,A,False,A,スペインから…,スペイン から …,UNK,True,True,
127,True,8,1,3,A,True,A,もう少し頑張るか,もう 少し 頑張る か,喜楽,False,False,
128,True,9,0,0,A,True,A,あれ?スペインからもう戻ってきたのか,あれ ? スペイン から もう 戻って きた の か,驚愕,False,False,
129,True,9,0,1,A,False,A,Ｂさん…,Ｂ さん …,UNK,False,True,
130,True,9,0,1,A,False,A,あれ？,あれ ？,UNK,False,True,
131,True,9,0,1,A,False,A,無視！？,無視 ！ ？,UNK,True,True,
132,True,9,0,2,A,False,A,Bさ…ちょっと!,B さ … ちょっと !,憤怒,False,False,
133,True,9,0,2,A,False,A,ここはよその研究室…!?,ここ は よそ の 研究 室 … ! ?,驚愕,False,False,
134,True,9,0,3,Bらしき後ろ姿の別人女性,False,Bらしき後ろ姿の別人女性,?,?,嫌悪,False,False,
135,True,9,0,3,A,False,A,人違い!?,人違い ! ?,驚愕,False,False,
136,True,9,1,0,Bらしき後ろ姿の別人女性,False,Bらしき後ろ姿の別人女性,?,?,嫌悪,False,False,
137,True,9,1,0,A,False,A,人違い!?,人違い ! ?,悲哀,False,False,
138,True,9,1,1,A,False,A,ハッ,ハッ,UNK,True,True,
139,True,9,1,1,A,False,A,ここは よその研究室…!?,ここ は よ その 研究 室 … ! ?,驚愕,False,False,
140,True,9,1,2,A,True,A,恥ずかしい…,恥ずかしい …,悲哀,False,False,
141,True,9,1,3,B,False,B,ただいま?,ただいま ?,ニュートラル,False,False,
142,True,9,1,3,A,False,A,おかえりなさい!,お かえり なさい !,喜楽,False,False,
143,True,9,1,3,B,False,B,?,?,驚愕,False,False,
